name,price,type,efficiency,wattage,modular,color,form_factor,pcie_6plus2_connectors
NZXT C1200 (2024),199.99,ATX,gold,1200,Full,Black,ATX,4
Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black,ATX,4
be quiet! Power Zone 2,163.41,ATX,platinum,850,Full,Black,ATX,4
be quiet! Pure Power 12 M,94.9,ATX,gold,650,Full,Black,ATX,4
be quiet! Pure Power 11,136.76,ATX,gold,400,false,Black,ATX,4
Gigabyte P450B,,ATX,bronze,450,false,Black,ATX,4
Lian Li SP850,138.99,SFX,gold,850,Full,Black,SFX,4
Corsair RM750x (2021),,ATX,gold,750,Full,Black,ATX,4
ASRock Challenger CL-750G,69.99,ATX,gold,750,false,Black,ATX,4
Asus ROG Strix,229.99,ATX,platinum,1000,Full,Black,ATX,4
SeaSonic PRIME TX-1600 ATX 3.1,550.99,ATX,titanium,1600,Full,Black / Silver,ATX,4
MSI MEG Ai1300P PCIE5,386.99,ATX,platinum,1300,Full,Black / Copper,ATX,4
EVGA SuperNOVA 1000 P5,175.41,ATX,platinum,1000,Full,Blue / Black,ATX,4
be quiet! Straight Power 12,199.9,ATX,platinum,1000,Full,Black,ATX,4
Montech APX,49.8,ATX,plus,650,false,Black,ATX,4
Apevia Prestige,66.98,ATX,gold,800,false,Black,ATX,4
EVGA 750 N1,69.98,ATX,,750,false,,ATX,4
Corsair HX1000i (2023),259.99,ATX,platinum,1000,Full,Black,ATX,4
Corsair RM1200x SHIFT,229.99,ATX,gold,1200,Full / Side,Black,ATX,4
Cooler Master MWE Gold 750 V3,99.99,ATX,gold,750,Full,Black,ATX,4
Super Flower Leadex Titanium,849.99,ATX,titanium,2800,Full,Black,ATX,4
Corsair RM1000x (2021),,ATX,gold,1000,Full,Black,ATX,4
EVGA SuperNOVA 850 GT,129.98,ATX,gold,850,Full,Black,ATX,4
Corsair HX1200i (2025),344.99,ATX,platinum,1200,Full,Black,ATX,4
Cooler Master MWE Gold 850 V3,107.5,ATX,gold,850,Full,Black,ATX,4
Asus TUF Gaming 750G,126.49,ATX,gold,750,Full,Black,ATX,4
EVGA 500 W1,72.0,ATX,plus,500,false,,ATX,4
MSI MEG Ai-T PCIE5,687.99,ATX,titanium,1600,Full,Black / Gold,ATX,4
EVGA 1000 GQ,128.94,ATX,gold,1000,Semi,,ATX,4
Thermaltake Smart BM3,79.98,ATX,bronze,750,Semi,Black,ATX,4
Montech CENTURY II,129.9,ATX,gold,1200,Full,Black,ATX,4
Thermaltake Toughpower GF A3 Snow,169.99,ATX,gold,1050,Full,White,ATX,4
Corsair RM1200e,199.99,ATX,gold,1200,Full,Black,ATX,4
be quiet! Straight Power 12,226.21,ATX,platinum,1200,Full,Black,ATX,4
Corsair RM750x (2018),183.88,ATX,gold,750,Full,Black,ATX,4
Apevia Premier,54.99,ATX,gold,650,Semi,Black,ATX,4
Corsair RM1000x SHIFT,199.99,ATX,gold,1000,Full / Side,White,ATX,4
SeaSonic PRIME TX-1600 Noctua Edition,654.0,ATX,titanium,1600,Full,Brown / Black,ATX,4
Asus Prime AP-750G,119.99,ATX,gold,750,Full,White / Black,ATX,4
Corsair RM850x SHIFT,179.99,ATX,gold,850,Full / Side,Black,ATX,4
be quiet! Pure Power 12 M,169.9,ATX,gold,1200,Full,Black,ATX,4
Thermaltake Toughpower GF1 (2024),99.99,ATX,gold,750,Full,Black,ATX,4
Corsair RM1000x,248.97,ATX,gold,1000,Full,,ATX,4
ASRock Steel Legend SL-750G,89.99,ATX,gold,750,Full,Black,ATX,4
Corsair RM850x SHIFT,169.99,ATX,gold,850,Full / Side,White,ATX,4
Cooler Master V SFX Platinum,207.49,SFX,platinum,1100,Full,Black,SFX,4
Segotep GM,94.99,ATX,gold,850,Full,Black,ATX,4
Silverstone SFX,127.25,SFX,gold,500,Full,Black,SFX,4
CoolMax V-400,24.99,ATX,,400,false,,ATX,4
Thermaltake Toughpower GT,,ATX,gold,750,Full,Beige,ATX,4
Gigabyte AORUS ELITE P850,164.99,ATX,platinum,850,Full,Black,ATX,4
Asus Prime AP-850G,139.99,ATX,gold,850,Full,White / Black,ATX,4
Lian Li SP850,144.99,SFX,gold,850,Full,White,SFX,4
MSI MPG A1000GS PCIE5,149.99,ATX,gold,1000,Full,Black,ATX,4
EVGA SuperNOVA 750 GT,115.98,ATX,gold,750,Full,Black,ATX,4
MSI MAG A1250GL PCIE5,209.99,ATX,gold,1250,Full,Black,ATX,4
be quiet! Dark Power Pro 13,399.9,ATX,titanium,1300,Full,Black,ATX,4
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,750,Full,Black,ATX,4
Gigabyte UD-GM PG5,146.72,ATX,gold,750,Full,Black,ATX,4
Corsair CV550,,ATX,bronze,550,false,Black,ATX,4
SeaSonic VERTEX GX-1000,199.99,ATX,gold,1000,Full,Black / Silver,ATX,4
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,,ATX,4
Corsair RM650 (2019),229.99,ATX,gold,650,Full,Black,ATX,4
Gigabyte AORUS ELITE P1000 ICE,,ATX,platinum,1000,Full,White,ATX,4
CoolMax I-500,26.14,ATX,,500,false,,ATX,4
Montech APX,54.9,ATX,plus,750,false,Black,ATX,4
SeaSonic CORE GX ATX 3 (2024),99.98,ATX,gold,650,Full,Black,ATX,4
SeaSonic VERTEX PX-1200,319.99,ATX,platinum,1200,Full,Black / Silver,ATX,4
Thermaltake Toughpower GF A3 - TT Premium Edition,136.72,ATX,gold,1050,Full,Black,ATX,4
Asus ROG LOKI,239.99,SFX,platinum,850,Full,White / Silver,SFX,4
Corsair CV650,,ATX,bronze,650,false,Black,ATX,4
Lian Li EDGE GOLD,475.18,ATX,gold,1000,Full,White,ATX,4
EVGA 700 BR,94.46,ATX,bronze,700,false,,ATX,4
Corsair RM1000x SHIFT,214.99,ATX,gold,1000,Full / Side,Black,ATX,4
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black,ATX,4
be quiet! SFX L Power,142.05,SFX,gold,500,Full,Black,SFX,4
be quiet! Pure Power 13 M,134.9,ATX,gold,850,Full,Black,ATX,4
Corsair SF750 (2018),,SFX,platinum,750,Full,Black,SFX,4
Rosewill CMG850,79.99,ATX,gold,850,Full,Black,ATX,4
Thermaltake Toughpower GT,,ATX,gold,850,Full,Beige,ATX,4
EVGA 750 GQ,123.03,ATX,gold,750,Semi,,ATX,4
Gigabyte UD850GM PG5 (rev. 2.0),,ATX,gold,850,Full,Black,ATX,4
MSI MPG A850GS PCIE5,129.99,ATX,gold,850,Full,Black,ATX,4
EVGA 600 W1,,ATX,plus,600,false,,ATX,4
be quiet! Power Zone 2,194.99,ATX,platinum,1000,Full,Black,ATX,4
be quiet! Power Zone 2,129.9,ATX,platinum,750,Full,Black,ATX,4
Corsair RM750 (2019),,ATX,gold,750,Full,Black,ATX,4
be quiet! Dark Power 13,239.9,ATX,titanium,850,Full,Black,ATX,4
ASRock Taichi TC-1650T,518.99,ATX,titanium,1650,Full,Black / Silver,ATX,4
be quiet! Straight Power 12,237.56,ATX,platinum,1500,Full,Black,ATX,4
ADATA XPG Core Reactor II VE,,ATX,gold,750,Full,,ATX,4
ADATA XPG Core Reactor II,,ATX,gold,850,Full,Black,ATX,4
SeaSonic FOCUS GX,175.26,ATX,gold,750,Full,Black,ATX,4
ADATA XPG CYBERCORE,129.99,ATX,platinum,1000,Full,Black / Silver,ATX,4
EVGA 600 BR,,ATX,bronze,600,false,,ATX,4
ASRock Steel Legend SL-850G,99.99,ATX,gold,850,Full,Black,ATX,4
Apevia ATX-ES700-RGB,48.99,ATX,,700,Semi,Black,ATX,4
ADATA XPG PYLON,81.93,ATX,bronze,650,false,Black,ATX,4
be quiet! Pure Power 12 M,,ATX,gold,550,Full,Black,ATX,4
be quiet! SFX Power 3 450,124.41,SFX,bronze,450,false,Black,SFX,4
Corsair RM850,115.98,ATX,gold,850,Full,Black,ATX,4
Corsair RM1200x SHIFT,269.99,ATX,gold,1200,Full / Side,White,ATX,4
be quiet! Pure Power 12,139.9,ATX,gold,1000,false,Black,ATX,4
Corsair RM850x (2018),209.5,ATX,gold,850,Full,Black,ATX,4
Gigabyte P650SS,,ATX,silver,650,false,Black,ATX,4
SeaSonic VERTEX GX-1200,247.99,ATX,gold,1200,Full,Black / Silver,ATX,4
Asus ROG LOKI,264.99,SFX,platinum,1000,Full,Silver / Black,SFX,4
MSI MAG A750GN PCIE5,,ATX,gold,750,false,Black,ATX,4
ADATA XPG Core Reactor II VE,,ATX,gold,650,Full,,ATX,4
MSI MAG A750BE,79.98,ATX,bronze,750,Semi,Black,ATX,4
MSI MAG A750GL PCIE5 II,115.0,ATX,gold,750,Full,Black,ATX,4
Corsair CX550 (2017),,ATX,bronze,550,false,,ATX,4
Corsair RM650x (2018),,ATX,gold,650,Full,Black / Silver,ATX,4
EVGA 850 GQ,84.99,ATX,gold,850,Semi,,ATX,4
Gigabyte UD-GM PG5,,ATX,gold,850,Full,White,ATX,4
Lian Li EDGE GOLD,481.17,ATX,gold,1000,Full,Black,ATX,4
Asus TUF Gaming 1000G,194.99,ATX,gold,1000,Full,White,ATX,4
Corsair RM650 (2023),,ATX,gold,650,Full,Black,ATX,4
Thermaltake Toughpower GX3,91.99,ATX,gold,850,false,Black,ATX,4
Asus ROG THOR P2 Gaming,359.99,ATX,platinum,1000,Full,Silver / Black,ATX,4
Thermaltake Toughpower GF3 TT Premium,185.99,ATX,gold,1200,Full,Black,ATX,4
SeaSonic PRIME PX-2200 ATX 3 (2024),,ATX,platinum,2200,Full,Black,ATX,4
Thermaltake Toughpower GF A3 - TT Premium Edition,100.09,ATX,gold,850,Full,Black,ATX,4
Corsair CX650 (2017),147.24,ATX,bronze,650,false,,ATX,4
Cooler Master V SFX Gold ATX 3.0,139.99,SFX,gold,850,Full,Black,SFX,4
Asus TUF Gaming 1200G,217.99,ATX,gold,1200,Full,Black,ATX,4
Silverstone DA850R-GMA,173.99,ATX,gold,850,Full,Black,ATX,4
Corsair RM750e (2022),175.0,ATX,gold,750,Full,Black,ATX,4
Aerocool Integrator,,ATX,bronze,500,false,Black,ATX,4
Corsair HX1200 Platinum,405.0,ATX,platinum,1200,Full,,ATX,4
be quiet! Pure Power 13 M,109.9,ATX,gold,750,Full,Black,ATX,4
EVGA SuperNOVA 850 G3,,ATX,gold,850,Full,,ATX,4
Corsair SF600 (2018),,SFX,platinum,600,Full,Black,SFX,4
SeaSonic FOCUS Plus 650 Gold,150.8,ATX,gold,650,Full,,ATX,4
Gigabyte UD750GM-A,89.99,ATX,gold,750,Full,Black,ATX,4
Silverstone Extreme 500 Bronze,106.64,SFX,bronze,500,false,Black / White,SFX,4
be quiet! Pure Power 12,107.98,ATX,gold,750,false,Black,ATX,4
ADATA XPG PYLON,102.51,ATX,bronze,550,false,Black,ATX,4
NZXT C1200,259.99,ATX,gold,1200,Full,Black,ATX,4
Lian Li EDGE GOLD,539.37,ATX,gold,1200,Full,White,ATX,4
MSI MAG A850GL PCIE5 II,129.99,ATX,gold,850,Full,Black,ATX,4
EVGA 650 N1,64.98,ATX,,650,false,,ATX,4
Cooler Master V850 SFX GOLD,169.99,SFX,gold,850,Full,White,SFX,4
be quiet! SFX L Power,203.42,SFX,gold,600,Full,Black,SFX,4
Corsair HX1000 Platinum,405.0,ATX,platinum,1000,Full,,ATX,4
Lian Li EDGE GOLD,534.05,ATX,gold,1200,Full,Black,ATX,4
SeaSonic Focus GX V4 ATX 3 (2024),207.99,ATX,gold,1000,Full,White,ATX,4
FSP Group VITA-850GM,,ATX,gold,850,Full,Black,ATX,4
Silverstone FX500-G,157.08,Flex ATX,gold,500,false,Black,Flex ATX,4
Vetroo GV1000,129.99,ATX,gold,1000,Full,White,ATX,4
Asus ROG Strix,169.99,ATX,gold,850,Full,White,ATX,4
EVGA SuperNOVA 1300 G+,239.99,ATX,gold,1300,Full,Black,ATX,4
Cooler Master MWE Bronze V2,,ATX,bronze,650,false,Black,ATX,4
Corsair CX750,,ATX,bronze,750,false,,ATX,4
Montech APX,54.99,ATX,plus,550,false,Black,ATX,4
EVGA 650 GQ,146.03,ATX,gold,650,Semi,,ATX,4
Silverstone SFX,232.63,SFX,titanium,800,Full,Black,SFX,4
be quiet! Straight Power 12,169.9,ATX,platinum,850,Full,Black,ATX,4
NZXT C850 (2024),,ATX,gold,850,Full,White,ATX,4
be quiet! Pure Power 13 M,159.9,ATX,gold,1000,Full,Black,ATX,4
Asus ROG LOKI,189.99,SFX,platinum,750,Full,Black / Silver,SFX,4
Gigabyte UD1000GM PG5 (rev. 2.0),147.97,ATX,gold,1000,Full,Black,ATX,4
be quiet! Pure Power 12,163.81,ATX,gold,650,false,Black,ATX,4
Gigabyte P550SS,,ATX,silver,550,false,Black,ATX,4
Silverstone HELA 2050R Platinum,,ATX,,2050,Full,Black,ATX,4
Thermalright TG,,ATX,gold,650,Full,Black,ATX,4
NZXT C1500,369.99,ATX,platinum,1500,Full,Black,ATX,4
Cooler Master V SFX Gold 850 ATX 3.1,,SFX,gold,850,Full,,SFX,4
SeaSonic VERTEX PX-1000,269.99,ATX,platinum,1000,Full,Black / Silver,ATX,4
Cougar GEX,,ATX,gold,650,Full,Black,ATX,4
"FSP Group Hydro Ti PRO,Gen 5",269.99,ATX,titanium,1000,Full,Black,ATX,4
Gigabyte AORUS ELITE P850 ICE,,ATX,platinum,850,Full,White,ATX,4
Thermaltake Toughpower GF3 Snow,185.99,ATX,gold,1200,Full,White,ATX,4
Silverstone DA750R-GMA,,ATX,gold,750,Full,Black,ATX,4
Asus ROG THOR P2 Gaming,,ATX,platinum,1200,Full,Silver / Black,ATX,4
Thermaltake Smart BM3,99.99,ATX,bronze,850,Semi,Black,ATX,4
Asus ROG LOKI,219.99,SFX,platinum,850,Full,Black / Silver,SFX,4
Asus ROG Strix,122.5,ATX,gold,750,Full,Black / Red,ATX,4
Deepcool PN850M,,ATX,gold,850,Full,Black,ATX,4
ARESGAME AGV,,ATX,bronze,650,false,Black,ATX,4
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,,ATX,4
SeaSonic S12III,88.0,ATX,bronze,650,false,Black,ATX,4
be quiet! System Power 10,,ATX,bronze,650,false,Black,ATX,4
EVGA 500 BQ,,ATX,bronze,500,Semi,,ATX,4
Silverstone FX600 Platinum,210.78,Flex ATX,,600,false,Black,Flex ATX,4
SeaSonic Focus GX V4 ATX 3 (2024),168.99,ATX,gold,850,Full,White,ATX,4
EVGA SuperNOVA 650 G3,182.49,ATX,gold,650,Full,,ATX,4
Corsair CV450,,ATX,bronze,450,false,Black,ATX,4
NZXT C750 (2022),,ATX,gold,750,Full,Black,ATX,4
Vetroo GV1000,129.99,ATX,gold,1000,Full,Black,ATX,4
SeaSonic PRIME TX-1300 ATX 3.1,,ATX,titanium,1300,Full,Black / Silver,ATX,4
Asus ROG-STRIX-850G,179.6,ATX,gold,850,Full,Black,ATX,4
Corsair RM750x,188.86,ATX,gold,750,Full,,ATX,4
Thermalright TG,,ATX,gold,750,Full,Black,ATX,4
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black,ATX,4
Corsair CX650M,,ATX,bronze,650,Semi,,ATX,4
be quiet! Dark Power 13,211.14,ATX,titanium,750,Full,Black,ATX,4
Cooler Master V Platinum V2,309.99,ATX,platinum,1600,Full,Black / Purple,ATX,4
MSI MPG A750GF,,ATX,gold,750,Full,Black,ATX,4
Thermaltake Smart BX1 650,63.43,ATX,bronze,650,false,Black,ATX,4
SeaSonic FOCUS Gold,,ATX,gold,750,Semi,,ATX,4
EVGA SuperNOVA 1600 T2,699.99,ATX,titanium,1600,Full,,ATX,4
SeaSonic CORE GX ATX 3 (2024),111.91,ATX,gold,850,Full,Black,ATX,4
SAMA GT,74.99,ATX,gold,750,Full,Black,ATX,4
Corsair RM850x,201.88,ATX,gold,850,Full,,ATX,4
ARESGAME AGV,,ATX,bronze,500,false,Black,ATX,4
EVGA 500 BR,165.0,ATX,bronze,500,false,,ATX,4
Thermaltake Toughpower SFX,194.99,SFX,platinum,1000,Full,Black,SFX,4
Corsair SF1000L,,SFX,gold,1000,Full,Black,SFX,4
FSP Group Dagger Pro,137.43,SFX,gold,650,Full,Black,SFX,4
ASRock Challenger CL-650G,,ATX,gold,650,false,Black,ATX,4
Super Flower Leadex III Gold UP,129.99,ATX,gold,850,Full,Black,ATX,4
Lian Li EDGE,,ATX,platinum,850,Full,Black,ATX,4
Thermalright TG,,ATX,gold,650,Full,White,ATX,4
Deepcool PL750D,,ATX,bronze,750,false,Black,ATX,4
SAMA GT,79.99,ATX,gold,850,Full,Black,ATX,4
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black,ATX,4
SeaSonic PRIME TX-1000,,ATX,titanium,1000,Full,Black,ATX,4
Corsair CX550M,,ATX,bronze,550,Semi,,ATX,4
MSI MPG A1250GS PCIE5,229.99,ATX,gold,1250,Full,Black,ATX,4
Lian Li EDGE GOLD,99.99,ATX,gold,750,Full,Black,ATX,4
SAMA GT,79.99,ATX,gold,850,Full,White,ATX,4
be quiet! Pure Power 12,119.9,ATX,gold,850,false,Black,ATX,4
Super Flower LEADEX VII Platinum PRO,199.99,ATX,platinum,1000,Full,Black,ATX,4
Gigabyte P650SS,,ATX,silver,650,false,White,ATX,4
Gigabyte P550B,,ATX,bronze,550,false,Black,ATX,4
NZXT C1200 (2024),196.99,ATX,gold,1200,Full,White,ATX,4
SeaSonic FOCUS Gold,,ATX,gold,650,Semi,,ATX,4
EVGA SuperNOVA 750 G3,,ATX,gold,750,Full,,ATX,4
Silverstone SFX,87.31,SFX,bronze,300,false,Black,SFX,4
Super Flower Leadex,,ATX,platinum,2000,Full,,ATX,4
Asus ROG THOR P2 Gaming,209.12,ATX,platinum,850,Full,Black / Silver,ATX,4
Asus ROG STRIX 1000G,290.95,ATX,gold,1000,Full,Black,ATX,4
Thermalright TG,,ATX,gold,850,Full,Black,ATX,4
Segotep GM,,ATX,gold,750,Full,Black,ATX,4
Corsair HX1000i,429.99,ATX,platinum,1000,Full,,ATX,4
ASRock Steel Legend SL-1000G,129.99,ATX,gold,1000,Full,Black,ATX,4
ASRock Phantom Gaming PG-850G,109.99,ATX,gold,850,Full,Black,ATX,4
SeaSonic FOCUS SGX,,SFX,gold,650,Full,Black,SFX,4
SeaSonic FOCUS SGX (2021),210.99,SFX,gold,750,Full,Black,SFX,4
ARESGAME AGV,,ATX,bronze,750,Semi,Black,ATX,4
Rosewill CMG1000G5,99.99,ATX,gold,1000,Full,Black,ATX,4
Silverstone DA750R-GMA,,ATX,gold,750,Full,White,ATX,4
Corsair RM750,,ATX,gold,750,Full,Black,ATX,4
Corsair RM650x (2021),,ATX,gold,650,Full,Black,ATX,4
be quiet! Pure Power 9 CM,249.62,ATX,bronze,600,Semi,Black,ATX,4
Phanteks AMP GH,,ATX,platinum,1000,Full,Black,ATX,4
Thermaltake Toughpower SFX,159.99,SFX,platinum,850,Full,Black,SFX,4
Gigabyte P850GM,174.9,ATX,gold,850,Full,Black,ATX,4
Asus TUF Gaming,,ATX,bronze,750,false,Black,ATX,4
Corsair RM750x SHIFT,139.99,ATX,gold,750,Full / Side,White,ATX,4
Super Flower LEADEX VII XG,159.99,ATX,gold,850,Full,Black,ATX,4
MSI MAG A850GN PCIE5,104.99,ATX,gold,850,false,Black,ATX,4
Silverstone HELA 1200R,320.72,ATX,platinum,1200,Full,Black,ATX,4
Silverstone SX600-G,,SFX,gold,600,Full,Black,SFX,4
Super Flower LEADEX VII Platinum PRO,239.99,ATX,platinum,1200,Full,Black,ATX,4
Deepcool PN750M,,ATX,gold,750,Full,Black,ATX,4
EVGA 700 GD,89.0,ATX,gold,700,false,Black,ATX,4
Corsair CX650F,,ATX,bronze,650,Full,Black,ATX,4
Gigabyte AORUS ELITE P1000,221.13,ATX,platinum,1000,Full,Black,ATX,4
Cooler Master MWE Bronze 650 V3 230V,,ATX,bronze,650,false,Black,ATX,4
EVGA 600 GD,,ATX,gold,600,false,Black,ATX,4
EVGA SuperNOVA 1300 P+,209.43,ATX,platinum,1300,Full,Black,ATX,4
Corsair SF850L,,SFX,gold,850,Full,Black,SFX,4
NZXT C1000 (2024),,ATX,gold,1000,Full,White,ATX,4
ADATA XPG Core Reactor II,,ATX,gold,750,Full,Black,ATX,4
Super Flower Leadex III Gold UP,159.99,ATX,gold,1000,Full,Black,ATX,4
Corsair TX650M Gold,,ATX,gold,650,Semi,,ATX,4
Thermaltake Toughpower GT,,ATX,gold,850,Full,White,ATX,4
Corsair RM550x,,ATX,gold,550,Full,,ATX,4
